Date,Open,High,Low,Close,Adj Close,Volume,VWAP,Symbol,Ticker
2022-04-08,46285.5,47313.4765625,42183.2890625,42287.6640625,42287.6640625,209602745602,45014.605293227454,BTC_USD,BTC-USD
2022-04-15,42282.078125,43376.37890625,39373.05859375,40553.46484375,40553.46484375,172436624052,40812.88397568857,BTC_USD,BTC-USD
2022-04-22,40552.31640625,42893.58203125,38696.19140625,39740.3203125,39740.3203125,186133207835,40668.46341036921,BTC_USD,BTC-USD
2022-04-29,39738.72265625,40713.890625,37884.984375,38609.82421875,38609.82421875,199884953142,39292.73403510496,BTC_USD,BTC-USD
2022-05-06,38605.859375,39902.94921875,35482.1328125,36040.921875,36040.921875,228804297807,37860.877078561185,BTC_USD,BTC-USD
2022-05-13,36042.50390625,36129.92578125,26350.490234375,29283.103515625,29283.103515625,364524625721,30919.1102082411,BTC_USD,BTC-USD
2022-05-20,29285.642578125,31308.19140625,28702.91015625,29200.740234375,29200.740234375,211938710077,29905.74233429308,BTC_USD,BTC-USD
2022-05-27,29199.859375,30590.5859375,28261.90625,28627.57421875,28627.57421875,197887728165,29360.61027761097,BTC_USD,BTC-USD
2022-06-03,28622.625,32249.86328125,28554.56640625,29704.390625,29704.390625,222824594805,30277.422723391806,BTC_USD,BTC-USD
2022-06-10,29706.138671875,31693.291015625,28978.146484375,29083.8046875,29083.8046875,188372307620,30289.149476161536,BTC_USD,BTC-USD
2022-06-17,29084.666015625,29401.916015625,20178.376953125,20471.482421875,20471.482421875,293756330578,23422.106503169623,BTC_USD,BTC-USD
2022-06-24,20473.42578125,21620.62890625,17708.623046875,21231.65625,21231.65625,216848726295,20228.064012523162,BTC_USD,BTC-USD
2022-07-01,21233.609375,21783.724609375,18729.65625,19269.3671875,19269.3671875,159334471490,20376.977565896177,BTC_USD,BTC-USD
2022-07-08,19274.8359375,22314.94140625,18966.951171875,21731.1171875,21731.1171875,183115176601,20547.03254815204,BTC_USD,BTC-USD
2022-07-15,21716.828125,21877.138671875,18999.953125,20836.328125,20836.328125,198397153187,20497.852209163015,BTC_USD,BTC-USD
2022-07-22,20834.103515625,24196.818359375,20518.8984375,22714.978515625,22714.978515625,243955551375,22521.78718508504,BTC_USD,BTC-USD
2022-07-29,22706.984375,24294.787109375,20776.81640625,23804.6328125,23804.6328125,219645120870,22609.441161987423,BTC_USD,BTC-USD
2022-08-05,23796.818359375,24572.580078125,22485.701171875,23289.314453125,23289.314453125,186229868833,23244.979243968028,BTC_USD,BTC-USD
2022-08-12,23291.423828125,24822.62890625,22771.51953125,24402.818359375,24402.818359375,181226613984,23717.300244690974,BTC_USD,BTC-USD
2022-08-19,24402.1875,25135.58984375,20868.84765625,20877.552734375,20877.552734375,204047513658,23577.902174786956,BTC_USD,BTC-USD
2022-08-26,20872.841796875,21804.908203125,20199.482421875,20260.01953125,20260.01953125,219560480665,21259.867811080563,BTC_USD,BTC-USD
